fileName	dwellTimeCentre	dwellTimeTail	dwellTimeHead
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	40.0	130.0	60.0
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	40.0	40.0	50.0
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	30.0	20.0	20.0
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	20.0	40.0	40.0
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	240.0	280.0	30.0
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	90.0	40.0	10.0
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	60.0	30.0	50.0
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	130.0	260.0	
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data	300.0	120.0	
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data		130.0	
Olympus_x4_10sec_2023-12-04_5_filamentC_140_600_data_dwell_data		280.0	
Olympus_x4_10sec_2023-12-04_5_filamentC_700_1030_data_dwell_data	30.0	10.0	40.0
Olympus_x4_10sec_2023-12-04_5_filamentC_700_1030_data_dwell_data	380.0	60.0	380.0
Olympus_x4_10sec_2023-12-04_5_filamentC_700_1030_data_dwell_data	20.0	50.0	30.0
Olympus_x4_10sec_2023-12-04_5_filamentC_700_1030_data_dwell_data	20.0	40.0	70.0
Olympus_x4_10sec_2023-12-04_5_filamentC_700_1030_data_dwell_data	90.0	380.0	370.0
Olympus_x4_10sec_2023-12-04_5_filamentC_700_1030_data_dwell_data	60.0	20.0	60.0
Olympus_x4_10sec_2023-12-04_5_filamentC_700_1030_data_dwell_data	360.0	120.0	20.0
Olympus_x4_10sec_2023-12-04_5_filamentC_700_1030_data_dwell_data	30.0	60.0	10.0
Olympus_x4_10sec_2023-12-04_5_filamentC_700_1030_data_dwell_data	40.0	380.0	
Olympus_x4_10sec_2023-12-04_5_filamentC_700_1030_data_dwell_data	20.0	50.0	
Olympus_x4_10sec_2023-12-04_5_filamentC_700_1030_data_dwell_data		50.0	
Olympus_x4_10sec_2023-12-04_5_filamentC_700_1030_data_dwell_data		30.0	
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	60.0	90.0	50.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	50.0	100.0	70.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	50.0	80.0	60.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	180.0	280.0	70.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	40.0	80.0	80.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	60.0	440.0	30.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	70.0	210.0	80.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	260.0	100.0	90.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	60.0	50.0	120.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	80.0	60.0	80.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	100.0	60.0	290.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	440.0	60.0	80.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	40.0	30.0	90.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	150.0	80.0	450.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	70.0		210.0
Olympus_x4_10sec_2023-12-06_2_filamentD_345_1030_stabilised_data_dwell_data	90.0		110.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	160.0	110.0	140.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	50.0	180.0	110.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	210.0	210.0	170.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	80.0	240.0	170.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	430.0	270.0	270.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	130.0	230.0	280.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	190.0	450.0	570.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	140.0	1280.0	1010.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	630.0	150.0	100.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	140.0	120.0	200.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	240.0	140.0	220.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	100.0	220.0	260.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	50.0	280.0	290.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	440.0	290.0	290.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	180.0	600.0	660.0
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	1950.0	450.0	
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data	250.0	1070.0	
Olympus_x4_10sec_2023-12-06_5_filamentA_Slow_stabilised_data_dwell_data		500.0
Olympus_x4_10sec_2023-12-13_filamentB_small_cleaned_shortened_data_dwell_data	10.0	10.0	10.0
Olympus_x4_10sec_2023-12-13_filamentB_small_cleaned_shortened_data_dwell_data	10.0	10.0	10.0
Olympus_x4_10sec_2023-12-13_filamentB_small_cleaned_shortened_data_dwell_data	10.0	70.0	10.0
Olympus_x4_10sec_2023-12-13_filamentB_small_cleaned_shortened_data_dwell_data	10.0	10.0	10.0
Olympus_x4_10sec_2023-12-13_filamentB_small_cleaned_shortened_data_dwell_data	10.0	40.0	10.0
Olympus_x4_10sec_2023-12-13_filamentB_small_cleaned_shortened_data_dwell_data	90.0	10.0	10.0
